Number of Trees,Learning Rate,Subsample,Percentage of Features,Weight of Default,AUC Train,AUC Test
100,0.1,0.8,50.0,1,0.9727942729092773,0.9621446604510305
100,0.1,0.8,100.0,1,0.9741097114350259,0.9621304371683543
100,0.1,0.5,50.0,1,0.9723371766075886,0.9619254922591626
100,0.1,0.5,100.0,1,0.9733670936560335,0.9618789628268901
300,0.1,0.8,100.0,1,0.9899350449164642,0.9616199763444455
300,0.1,0.8,50.0,1,0.9877306482951446,0.9615340476058374
100,0.1,0.8,100.0,5,0.9740480772328176,0.9613986171114582
100,0.1,0.8,50.0,5,0.9733019500459473,0.9613714447511212
100,0.1,0.8,50.0,10,0.9728157241196596,0.9612098499231968
300,0.1,0.5,50.0,1,0.9862926996542207,0.9611662040883477
300,0.1,0.5,100.0,1,0.9885350510287734,0.9611620216397769
100,0.1,0.5,50.0,5,0.9727138281540855,0.9610307119786392
100,0.1,0.5,100.0,5,0.9734665979547057,0.9609287287497602
300,0.1,0.8,50.0,5,0.9878885739131938,0.960900018470797
300,0.1,0.8,50.0,10,0.9870781456095375,0.9608219912820519
300,0.1,0.8,100.0,5,0.9897518884122884,0.9607819018840252
100,0.1,0.8,100.0,10,0.9740218159787436,0.9607594492579327
50,0.1,0.8,50.0,1,0.9668902007374243,0.9606378772834788
50,0.1,0.5,100.0,1,0.9673377462163579,0.9606215073227206
50,0.1,0.5,50.0,1,0.9668918535816144,0.9605494173871323
50,0.1,0.8,100.0,1,0.9676476266603385,0.9605364954202165
300,0.1,0.5,50.0,5,0.9861342475344477,0.9604150121718373
300,0.1,0.8,100.0,10,0.9891083041135742,0.9602482712315877
100,0.1,0.5,50.0,10,0.9720718944360114,0.9601918463773873
300,0.1,0.5,100.0,5,0.9879284359336342,0.9601068985548258
100,0.1,0.5,100.0,10,0.9729201027468432,0.9600175809730914
300,0.1,0.5,50.0,10,0.9846704699774947,0.9597391758033822
50,0.1,0.8,100.0,5,0.9675716755045525,0.9596949951474724
50,0.1,0.8,50.0,5,0.9671746646841808,0.9595691100999492
50,0.1,0.5,100.0,5,0.9674129205217933,0.9594802854408517
50,0.1,0.5,50.0,5,0.9666755591585477,0.9593742060248633
300,0.1,0.5,100.0,10,0.9869673987108606,0.9593168865160775
50,0.1,0.8,50.0,10,0.9664840334047027,0.9587605518470028
50,0.1,0.8,100.0,10,0.9673559148265694,0.9586745294530936
50,0.1,0.5,100.0,10,0.9671638557803509,0.958506046031324
50,0.1,0.5,50.0,10,0.9660372584381799,0.958505045398372
300,0.01,0.5,50.0,1,0.9630662662530063,0.9580961315668091
300,0.01,0.8,50.0,1,0.9630536111978185,0.957961632696213
300,0.01,0.5,100.0,1,0.9627948806452826,0.9573004164131564
300,0.01,0.8,100.0,1,0.9627449046308539,0.9571782480023128
300,0.01,0.8,50.0,5,0.9618325504827644,0.9561150853491601
300,0.01,0.5,50.0,5,0.9617725107251569,0.9560643143176005
300,0.01,0.5,100.0,5,0.9614380902305018,0.954857442534389
300,0.01,0.8,100.0,5,0.9613292782143414,0.9547264729898703
300,0.01,0.5,50.0,10,0.9606077381599851,0.9545828501212728
300,0.01,0.8,50.0,10,0.9605645450994051,0.9545790817277167
300,0.01,0.5,100.0,10,0.9598603103373007,0.9528968526061549
300,0.01,0.8,100.0,10,0.9598599151214757,0.9528294725463584
100,0.01,0.8,50.0,1,0.9548047316835759,0.9510107999743995
100,0.01,0.5,50.0,1,0.9547064143905092,0.9508250223619283
50,0.01,0.8,50.0,1,0.9526703887649431,0.9491498987201717
50,0.01,0.5,50.0,1,0.952649804946911,0.9491232217470842
100,0.01,0.5,100.0,1,0.950162864321922,0.9462403070213989
100,0.01,0.8,50.0,5,0.9505352522456901,0.9461644881260654
100,0.01,0.5,50.0,5,0.9503117968559295,0.9460029179442728
100,0.01,0.8,100.0,1,0.9493799956446041,0.9453583920216883
50,0.01,0.5,50.0,5,0.9474504401663966,0.9434494874965046
50,0.01,0.8,50.0,5,0.9474449764094722,0.9434358557209922
100,0.01,0.8,50.0,10,0.9479843993818001,0.943383835130549
100,0.01,0.5,50.0,10,0.9477272505979852,0.9431054324254526
50,0.01,0.5,50.0,10,0.9447814748122183,0.9405200630554523
50,0.01,0.8,50.0,10,0.9445837903916074,0.9403132672217607
50,0.01,0.5,100.0,1,0.942715976860587,0.9391805359323053
50,0.01,0.8,100.0,1,0.942061979326578,0.93845562418616
100,0.01,0.8,100.0,5,0.9429917351941483,0.9384102358697909
100,0.01,0.5,100.0,5,0.9425757617102345,0.9381244023559494
100,0.01,0.5,100.0,10,0.9396119540326748,0.9348716403822571
100,0.01,0.8,100.0,10,0.9384203851102155,0.9335710689350731
50,0.01,0.5,100.0,5,0.9342117983355669,0.9302473408894038
50,0.01,0.8,100.0,5,0.9343466900690933,0.93002031551071
50,0.01,0.5,100.0,10,0.9324867156643386,0.9281792987556385
50,0.01,0.8,100.0,10,0.9296305778156229,0.9249040693681745
